NUMERO AGENCIA,RAZON SOCIAL,ESTADO1,TELEFONO,EJECUTIVO,CIUDAD,MUNICIPIO,PROVINCIA,LONGITUD,LATITUD,CALLE,SECTOR,Com.Aplicada,Com.Faltante,Descuento_ISR
95523,COLMADO E&B,A,0000000000,RD.MGarciaJavier,VILLA JUANA (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
97607,COLMADO GERMAN COMPA,A,0000000000,RD.CPeña.CPena,RINCON LARGO (SANTIAGO),N/A,Santiago,,,N/A,N/A,8.11,5.89,10
103259,COLMADO FERNANDEZ,A,0000000000,RD.CPeña.SFranco,VUELTA LARGA,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
104239,COL JOHNNY,A,0000000000,RD.NCepeda,VILLA CONSUELO (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
104400,COL CHEF #2,A,0000000000,RD.CPeña.SFranco,LOS JAZMINES,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
104943,CENTRO MEDICO CARIBE,A,0000000000,RD.CMAlejo,MIRAFLORES (SANTO DOMINGO),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
106039,COLMADO MONCION,A,0000000000,RD.Almonte,BARRIO OBRERO (SANTIAGO),N/A,Santiago,,,N/A,N/A,8.11,5.89,10
106228,COL EL VIEJO,A,0000000000,RD.CPeña.WEspinal,SAN JOSE LOS MINA (SANTO DOMINGO),N/A,Santiago,,,N/A,N/A,8.11,5.89,10
106313,COLMADO LA EMBAJADA,A,0000000000,RD.MGarciaJavier,ALTOS DE ARROYO HONDO III (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
106487,LA PACHANGA,A,0000000000,RD.CPeña.SFranco,VILLA MAGISTERIAL,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
106561,ANGELA CAFETERIA,A,0000000000,RD.Almonte.CarlosRodriguez,LOS CIRUELITOS (SANTIAGO),N/A,Santiago,,,N/A,N/A,8.11,5.89,10
107007,COL CARLOS MALENA,A,0000000000,RD.MCastillo,BAVARO,N/A,La Altagracia,,,N/A,N/A,8.11,5.89,10
108009,BANCA M Y M (CIENAGA),A,0000000000,RD.JBoves,SAN JOSE DE OCA,N/A,San José de Ocoa,,,N/A,N/A,8.11,5.89,10
108288,COL. RANDY,A,0000000000,RD.Almonte.DPolanco,MOCA,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
108428,MINI MARKET EXPRESS,A,0000000000,RD.CPeña.SFranco,ENSANCHE LIBERTAD (SANTIAGO),N/A,Santiago,,,N/A,N/A,8.11,5.89,10
108467,MINIMARKET RODRIGUEZ LOPEZ II,A,0000000000,RD.Almonte,EL EMBRUJO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
108928,GREGORIS,A,0000000000,RD.CPeña.WEspinal,LA REAL,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
109975,HERNANDEZ 1 VILLA MELLA 1,A,0000000000,RD.MGarciaJavier.FHidalgo,VILLA AGRICOLAS (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
110430,COLMADO JULIAN,A,0000000000,RD.CPeña.SFranco,LA CANELA,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
110510,BANCA LA FUERTE  - JOAN GUZMAN,A,0000000000,RD.DRosarioR,LOS MAMEYES (SANTO DOMINGO ESTE),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
110641,COLMADO MOLINA,A,0000000000,RD.Almonte.DPolanco,LICEY,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
111013,COLMADO YAQUELIN,A,0000000000,RD.ASalcedo.LSalcedo,MAO (VALVERDE),N/A,Valverde,,,N/A,N/A,8.11,5.89,10
113074,COLMADO RUBIO,A,0000000000,RD.MGarciaJavier.FHidalgo,YAMASA (MONTE PLATA),N/A,Monte Plata,,,N/A,N/A,8.11,5.89,10
113077,COLMADO ANDY,A,0000000000,RD.MGarciaJavier.FHidalgo,YAMASA (MONTE PLATA),N/A,Monte Plata,,,N/A,N/A,8.11,5.89,10
113212,EL PLAY,A,0000000000,RD.MGarciaJavier.FHidalgo,YAMASA (MONTE PLATA),N/A,Monte Plata,,,N/A,N/A,8.11,5.89,10
113896,SUPER COLMADO MOREL,A,0000000000,RD.ASalcedo.LSalcedo,LA DELGADA,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
113916,VARON GUAZUMITA,A,0000000000,RD.MGarciaJavier.FHidalgo,YAMASA,N/A,Monte Plata,,,N/A,N/A,8.11,5.89,10
114035,SUPER COLMADO NUÑES,A,0000000000,RD.ASalcedo.GSalcedo,GURABO ABAJO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
114624,EL PRIMO EL CONGO,A,0000000000,RD.CPeña.PJimenez,BARRIO OBRERO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
114956,COMPRA VENTA EL SIGLO,A,0000000000,RD.NCepeda,VILLA CONSUELO (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
115489,BANCA MENDOZA 4,A,0000000000,RD.DPaulino,VILLA CARMEN (SANTO DOMINGO ESTE ),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
